ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
200701;LFBD;LC;I;B;8;1365;1365;0,008;0,041;0,002;0,001
200701;LFBD;MC;I;A;931;20959;21052;0,302;0,897;0,150;0,048
200701;LFBD;MC;I;B;413;30084;31602;0,424;1,792;0,073;0,067
200701;LFBD;MC;I;C;19;0;742;0,037;0,196;0,018;0,006
200701;LFBD;CC;M;A;1;9;9;0,000;0,001;0,000;0,000
200701;LFBD;CC;M;B;1054;121341;123347;1,049;5,195;0,243;0,167
200701;LFBD;CC;M;A;903;24405;25378;0,323;1,102;0,137;0,051
200701;LFBD;CC;M;B;423;30754;30761;0,220;0,885;0,096;0,035
200701;LFBD;CC;M;C;9;0;265;0,013;0,075;0,003;0,002
200701;LFBO;LC;I;A;1;13;13;0,000;0,001;0,000;0,000
200701;LFBO;LC;I;B;9;1762;1762;0,010;0,052;0,004;0,002
200701;LFBO;LC;I;C;10;2408;2512;0,027;0,161;0,008;0,004
200701;LFBO;MC;I;A;1323;44059;45201;0,466;1,408;0,161;0,074
200701;LFBO;MC;I;B;987;84294;85094;0,656;2,793;0,183;0,104
200701;LFBO;MC;I;C;181;11727;34032;0,363;1,984;0,166;0,058
200701;LFBO;LC;O;C;7;2491;3151;0,034;0,224;0,003;0,005
200701;LFBO;CC;M;A;7;13;68;0,002;0,004;0,004;0,000
200701;LFBO;CC;M;B;2292;251526;265048;2,150;9,256;0,580;0,341
200701;LFBO;CC;M;A;1213;39364;39369;0,365;1,169;0,281;0,058
200701;LFBO;CC;M;B;342;24088;25097;0,183;0,783;0,067;0,029
200701;LFBO;CC;M;C;135;2290;14198;0,237;1,348;0,104;0,038
200701;LFLL;LC;I;B;25;3442;3443;0,028;0,124;0,008;0,004
200701;LFLL;LC;I;C;17;6503;6635;0,060;0,354;0,007;0,009
200701;LFLL;MC;I;A;3443;109209;109471;1,212;3,396;0,599;0,192
200701;LFLL;MC;I;B;1598;140965;145387;1,201;4,748;0,408;0,191
200701;LFLL;MC;I;C;236;30605;47207;0,449;2,565;0,140;0,071
200701;LFLL;LC;O;C;9;2760;2779;0,019;0,069;0,002;0,003
200701;LFLL;CC;M;A;131;2745;4665;0,047;0,118;0,041;0,007
200701;LFLL;CC;M;B;794;58284;62920;0,338;1,307;0,166;0,054
200701;LFLL;CC;M;C;10;2553;2558;0,038;0,246;0,003;0,006
200701;LFLL;CC;M;A;2651;75164;76167;0,859;2,578;0,799;0,136
200701;LFLL;CC;M;B;1296;95194;95545;0,634;2,474;0,295;0,101
200701;LFLL;CC;M;C;70;4889;7293;0,162;1,091;0,048;0,026
200701;LFML;LC;I;A;4;9;9;0,001;0,003;0,001;0,000
200701;LFML;LC;I;B;64;8384;8765;0,074;0,339;0,026;0,012
200701;LFML;LC;I;C;8;834;1040;0,035;0,251;0,004;0,006
200701;LFML;MC;I;A;1132;38214;39100;0,339;0,937;0,289;0,054
200701;LFML;MC;I;B;1773;147779;151990;1,707;7,400;0,402;0,271
200701;LFML;MC;I;C;122;10056;13673;0,268;1,436;0,242;0,043
200701;LFML;LC;O;C;25;8830;9000;0,086;0,640;0,007;0,014
200701;LFML;CC;M;A;3;0;99;0,001;0,001;0,001;0,000
200701;LFML;CC;M;B;1554;153902;165868;1,514;6,115;0,541;0,240
200701;LFML;CC;M;C;47;1301;6936;0,097;0,497;0,020;0,015
200701;LFML;CC;M;A;1497;37230;41082;0,387;1,107;0,446;0,061
200701;LFML;CC;M;B;967;60855;68767;0,542;1,715;0,247;0,086
200701;LFML;CC;M;C;110;5355;7986;0,231;1,438;0,039;0,037
200701;LFMN;LC;I;A;13;41;41;0,006;0,018;0,003;0,001
200701;LFMN;LC;I;B;3;305;305;0,003;0,012;0,001;0,000
200701;LFMN;LC;I;C;52;6524;7943;0,148;1,016;0,025;0,023
200701;LFMN;MC;I;A;3863;61519;61894;0,726;1,759;1,831;0,115
200701;LFMN;MC;I;B;2381;201540;202164;2,028;8,139;0,519;0,322
200701;LFMN;MC;I;C;112;12243;12256;0,203;1,302;0,017;0,032
200701;LFMN;CC;M;A;38;0;486;0,009;0,023;0,017;0,001
200701;LFMN;CC;M;B;1920;237807;242385;1,871;8,461;0,630;0,297
200701;LFMN;CC;M;C;1;4;4;0,002;0,007;0,000;0,000
200701;LFMN;CC;M;A;1548;42141;44071;0,467;1,443;0,596;0,074
200701;LFMN;CC;M;B;507;34412;34427;0,083;0,329;0,039;0,013
200701;LFMN;CC;M;C;1;0;0;0,006;0,048;0,001;0,001
200701;LFOB;MC;I;A;1;2;2;0,000;0,000;0,000;0,000
200701;LFOB;MC;I;B;1103;141173;141173;1,246;5,970;0,241;0,198
200701;LFOB;CC;M;A;1;2;2;0,000;0,000;0,000;0,000
200701;LFOB;CC;M;C;2;0;106;0,005;0,023;0,004;0,001
200701;LFPG;LC;I;B;311;27437;27917;0,446;1,897;0,277;0,071
200701;LFPG;LC;I;C;7686;1597021;2715721;31,809;175,961;23,101;5,049
200701;LFPG;MC;I;A;8031;281286;331460;2,816;7,686;1,870;0,447
200701;LFPG;MC;I;B;21116;1867079;1912347;23,390;89,458;9,633;3,713
200701;LFPG;MC;I;C;1411;109053;478582;4,097;21,653;2,827;0,650
200701;LFPG;LC;O;C;76;22368;32286;0,317;2,295;0,090;0,050
200701;LFPG;CC;M;A;718;18855;26098;0,271;0,689;0,443;0,043
200701;LFPG;CC;M;B;4158;373027;522123;4,154;15,301;1,889;0,659
200701;LFPG;CC;M;C;110;1499;40004;0,275;1,455;0,064;0,044
200701;LFPO;LC;I;A;1;4;4;0,001;0,001;0,000;0,000
200701;LFPO;LC;I;B;191;16741;18187;0,232;0,975;0,081;0,037
200701;LFPO;LC;I;C;194;64444;70991;0,636;3,267;0,141;0,101
200701;LFPO;MC;I;A;520;12412;12412;0,102;0,237;0,067;0,016
200701;LFPO;MC;I;B;6129;610144;629553;6,264;28,044;1,741;0,994
200701;LFPO;MC;I;C;361;55266;72508;0,972;5,306;0,767;0,154
200701;LFPO;LC;O;C;670;253682;286616;2,698;17,075;1,165;0,428
200701;LFPO;CC;M;A;2173;57365;57392;0,682;2,040;0,738;0,108
200701;LFPO;CC;M;B;9102;934913;938838;8,161;34,856;2,789;1,295
200701;LFPO;CC;M;C;19;5189;5415;0,087;0,467;0,008;0,014
200701;LFRS;LC;I;B;17;3100;3100;0,020;0,077;0,009;0,003
200701;LFRS;LC;I;C;8;2471;2471;0,018;0,106;0,002;0,003
200701;LFRS;MC;I;A;244;4397;6131;0,068;0,204;0,045;0,011
200701;LFRS;MC;I;B;334;37072;37495;0,348;1,619;0,065;0,055
200701;LFRS;MC;I;C;56;0;6689;0,103;0,519;0,030;0,016
200701;LFRS;LC;O;C;24;9448;9453;0,098;0,629;0,012;0,016
200701;LFRS;CC;M;B;257;27026;27144;0,211;0,935;0,081;0,034
200701;LFRS;CC;M;C;2;183;183;0,010;0,070;0,001;0,002
200701;LFRS;CC;M;A;1043;28586;29091;0,435;1,414;0,141;0,069
200701;LFRS;CC;M;B;572;39954;39964;0,227;0,906;0,094;0,036
200701;LFRS;CC;M;C;8;1287;1310;0,013;0,054;0,002;0,002
200701;LFSB;LC;I;A;2;7;7;0,001;0,004;0,000;0,000
200701;LFSB;LC;I;B;9;1039;1039;0,000;0,000;0,000;0,000
200701;LFSB;LC;I;C;51;5450;14980;0,181;1,181;0,096;0,029
200701;LFSB;MC;I;A;1199;32079;35166;0,211;0,584;0,301;0,034
200701;LFSB;MC;I;B;1747;157474;160020;1,274;5,357;0,546;0,202
200701;LFSB;MC;I;C;122;3698;14993;0,231;1,303;0,053;0,037
200701;LFSB;CC;M;A;45;2106;2324;0,002;0,004;0,003;0,000
200701;LFSB;CC;M;B;632;51064;51162;0,402;1,814;0,128;0,064
200701;LFSB;CC;M;C;62;0;6507;0,112;0,714;0,012;0,018
200701;LFSB;CC;M;A;462;7731;7783;0,100;0,326;0,120;0,016
200701;LFSB;CC;M;B;73;7235;7235;0,063;0,285;0,029;0,010
200701;LFSB;CC;M;C;1;0;0;0,003;0,011;0,001;0,000
200702;LFBD;LC;I;B;8;1271;1271;0,008;0,035;0,002;0,001
200702;LFBD;LC;I;C;1;20;20;0,002;0,007;0,000;0,000
200702;LFBD;MC;I;A;969;24349;24542;0,316;0,941;0,173;0,050
200702;LFBD;MC;I;B;474;31644;34001;0,477;1,980;0,080;0,076
200702;LFBD;MC;I;C;11;579;799;0,018;0,095;0,005;0,003
200702;LFBD;CC;M;A;1;0;0;0,000;0,001;0,000;0,000
200702;LFBD;CC;M;B;1010;110195;112211;0,995;4,884;0,247;0,158
200702;LFBD;CC;M;C;1;0;0;0,005;0,033;0,001;0,001
200702;LFBD;CC;M;A;1174;35154;36034;0,365;1,248;0,154;0,058
200702;LFBD;CC;M;B;251;21330;21340;0,214;0,889;0,087;0,034
200702;LFBD;CC;M;C;4;0;105;0,006;0,035;0,001;0,001
200702;LFBO;LC;I;A;1;4;4;0,000;0,000;0,000;0,000
200702;LFBO;LC;I;B;10;1843;1843;0,011;0,067;0,004;0,002
200702;LFBO;LC;I;C;7;2091;2091;0,015;0,084;0,002;0,002
200702;LFBO;MC;I;A;1401;47132;48193;0,482;1,433;0,184;0,076
200702;LFBO;MC;I;B;983;89385;90051;0,675;2,898;0,183;0,107
200702;LFBO;MC;I;C;164;12317;32178;0,318;1,777;0,142;0,051
200702;LFBO;LC;O;C;5;1261;1338;0,011;0,048;0,001;0,002
200702;LFBO;CC;M;A;24;0;359;0,006;0,015;0,011;0,001
200702;LFBO;CC;M;B;2090;234555;246469;1,962;8,460;0,535;0,311
200702;LFBO;CC;M;A;1224;39013;39016;0,391;1,251;0,300;0,062
200702;LFBO;CC;M;B;340;23618;24394;0,173;0,747;0,058;0,027
200702;LFBO;CC;M;C;125;1025;12111;0,230;1,294;0,111;0,037
200702;LFLL;LC;I;B;25;3548;3553;0,028;0,118;0,008;0,004
200702;LFLL;LC;I;C;17;6404;6596;0,056;0,324;0,005;0,009
200702;LFLL;MC;I;A;3376;112013;112296;1,203;3,402;0,589;0,191
200702;LFLL;MC;I;B;1587;147901;152764;1,233;5,022;0,346;0,196
200702;LFLL;MC;I;C;205;26315;42195;0,390;2,144;0,141;0,062
200702;LFLL;LC;O;C;8;2383;2567;0,022;0,117;0,003;0,003
200702;LFLL;CC;M;A;116;2153;4050;0,041;0,101;0,036;0,007
200702;LFLL;CC;M;B;724;53409;57342;0,298;1,152;0,151;0,047
200702;LFLL;CC;M;C;9;2558;2558;0,037;0,249;0,004;0,006
200702;LFLL;CC;M;A;2460;70294;71225;0,760;2,283;0,765;0,121
200702;LFLL;CC;M;B;1326;96651;96747;0,616;2,416;0,272;0,098
200702;LFLL;CC;M;C;61;3197;5577;0,133;0,823;0,058;0,021
200702;LFML;LC;I;A;1;5;5;0,000;0,000;0,000;0,000
200702;LFML;LC;I;B;45;5423;5635;0,047;0,217;0,015;0,007
200702;LFML;LC;I;C;5;930;939;0,018;0,114;0,002;0,003
200702;LFML;MC;I;A;1154;40826;41989;0,349;0,981;0,279;0,055
200702;LFML;MC;I;B;1693;146426;150175;1,646;7,180;0,363;0,261
200702;LFML;MC;I;C;118;8151;11584;0,246;1,289;0,180;0,039
200702;LFML;LC;O;C;16;4496;4680;0,059;0,479;0,005;0,009
200702;LFML;CC;M;A;2;0;90;0,001;0,001;0,001;0,000
200702;LFML;CC;M;B;1437;135161;146725;1,399;5,650;0,511;0,222
200702;LFML;CC;M;C;43;742;5986;0,091;0,486;0,019;0,014
200702;LFML;CC;M;A;1620;44494;48509;0,372;1,064;0,437;0,059
200702;LFML;CC;M;B;740;50866;57853;0,492;1,606;0,219;0,078
200702;LFML;CC;M;C;95;2170;4816;0,181;1,101;0,034;0,029
200702;LFMN;LC;I;A;9;23;23;0,005;0,015;0,002;0,001
200702;LFMN;LC;I;B;3;121;121;0,004;0,020;0,001;0,001
200702;LFMN;LC;I;C;56;6313;8038;0,156;1,055;0,033;0,025
200702;LFMN;MC;I;A;3969;58681;59125;0,701;1,655;1,806;0,111
200702;LFMN;MC;I;B;2231;195177;195928;1,866;7,532;0,483;0,296
200702;LFMN;MC;I;C;111;11598;11608;0,197;1,264;0,015;0,031
200702;LFMN;CC;M;A;36;120;566;0,008;0,022;0,017;0,001
200702;LFMN;CC;M;B;1752;217131;221357;1,708;7,725;0,579;0,271
200702;LFMN;CC;M;C;1;211;211;0,001;0,003;0,001;0,000
200702;LFMN;CC;M;A;1344;42129;43796;0,420;1,301;0,524;0,067
200702;LFMN;CC;M;B;459;32718;32719;0,064;0,254;0,030;0,010
200702;LFOB;MC;I;A;2;39;39;0,001;0,001;0,001;0,000
200702;LFOB;MC;I;B;1020;141397;141397;1,146;5,520;0,210;0,182
200702;LFPG;LC;I;A;3;4;790;0,001;0,004;0,001;0,000
200702;LFPG;LC;I;B;304;27143;27643;0,432;1,819;0,268;0,069
200702;LFPG;LC;I;C;6853;1406205;2558129;28,541;157,559;20,414;4,530
