ANMOIS;DEP;ARR;PC15_D;PC15_A;RETARD_D;RETARD_A
201801;LFLL;LFPG;0,241;0,221;10,8;11,7
201801;LFLL;DTTA;0,794;;34,2;
201801;LFLL;LFRN;0,074;0,087;5,0;5,1
201801;LFLL;LFBO;0,087;0,053;4,8;4,0
201801;LFLL;LFML;0,186;0,140;10,4;10,1
201801;LFLL;LEBL;0,153;;17,1;
201801;LFLL;LOWW;0,298;;15,3;
201801;LFLL;EHAM;0,202;;11,0;
201801;LFLL;EKCH;0,200;;21,7;
201801;LFLL;LPPT;0,333;;16,5;
201801;LFLL;EGBB;0,095;;4,4;
201801;LFLL;LIMC;0,104;;10,1;
201801;LFLL;EGCC;0,448;;23,4;
201801;LFLL;LHBP;0,077;;3,8;
201801;LFLL;LLBG;0,600;;39,7;
201801;LFLL;EDDF;0,308;;11,3;
201801;LFLL;LFMN;0,049;0,024;3,0;3,0
201801;LFLL;LFBD;0,099;0,093;7,6;6,7
201801;LFLL;LFBP;0,393;0,311;15,5;13,6
201801;LFLL;EBBR;0,208;;11,0;
201801;LFLL;LIPE;0,294;;13,8;
201801;LFLL;EDDL;0,569;;28,0;
201801;LFLL;LEMD;0,130;;6,6;
201801;LFLL;EGGW;0,444;;28,3;
201801;LFLL;LIPZ;0,156;;8,8;
201801;LFLL;LFBZ;0,155;0,113;12,4;10,2
201801;LFLL;EIDW;0,267;;20,7;
201801;LFLL;LIRN;0,100;;5,3;
201801;LFLL;EDDB;0,000;;2,6;
201801;LFLL;LFBL;0,027;0,054;5,2;3,4
201801;LFLL;GMFF;0,100;;6,7;
201801;LFLL;LFRS;0,109;0,121;6,6;8,3
201801;LFLL;LFQQ;0,104;0,167;5,4;7,6
201801;LFLL;LFRB;0,053;0,074;3,7;3,5
201801;LFLL;LIRF;0,091;;6,4;
201801;LFLL;LFBI;0,277;0,283;12,9;14,4
201801;LFLL;GMMX;0,206;;14,7;
201801;LFLL;LFST;0,197;0,129;13,7;13,0
201801;LFLL;LFPO;0,133;0,111;6,7;5,2
201801;LFLL;LPPR;0,316;;18,3;
201801;LFLL;LFJL;0,121;0,103;7,0;5,9
201801;LFLL;LKPR;0,036;;4,6;
201801;LFLL;LFRK;0,167;0,239;10,4;13,4
201801;LFLL;EDDM;0,262;;11,7;
201801;LFLL;LFKJ;0,615;0,615;24,2;24,8
201801;LFLL;DAAG;0,277;;11,8;
201801;LFLL;GMAD;0,286;;11,9;
201801;LFLL;EPKK;0,000;;0,3;
201801;LFLL;LFKB;0,000;0,000;1,2;0,3
201801;LFLL;GMMN;0,333;;23,1;
201801;LFLL;OMDB;0,727;;27,0;
201801;LFLL;LTBA;0,453;;21,6;
201801;LFLL;UUEE;0,484;;27,5;
201801;LFLL;DTTJ;0,615;;28,1;
201801;LFLL;DTMB;0,360;;22,9;
201801;LFLL;EGKK;0,203;;14,7;
201801;LFLL;EGLL;0,133;;9,0;
201801;LFLL;DAOO;0,333;;13,2;
201801;LFLL;DABC;0,308;;18,0;
201801;LFLL;CYUL;0,615;;22,9;
201801;LFLL;LTFJ;0,516;;24,7;
201801;LFLL;DAAS;0,324;;16,4;
201801;LFLL;DABB;0,176;;9,7;
201801;LPPT;LFPG;;0,275;;14,1
201801;LPPT;LFLL;;0,288;;15,8
201801;LPPT;LFSB;;0,105;;17,7
201801;LPPT;LFBO;;0,182;;9,7
201801;LPPT;LFML;;0,173;;10,7
201801;LPPT;LFMN;;0,311;;18,4
201801;LPPT;LFBD;;0,268;;15,1
201801;LPPT;LFOB;;0,063;;2,9
201801;LPPT;LFRS;;0,290;;15,3
201801;LPPT;LFQQ;;0,000;;0,3
201801;LPPT;LFPO;;0,290;;12,4
201801;DTTA;LFPG;;0,289;;13,0
201801;DTTA;LFLL;;0,571;;21,3
201801;DTTA;LFBO;;0,714;;46,0
201801;DTTA;LFML;;0,587;;32,9
201801;DTTA;LFMN;;0,471;;26,2
201801;DTTA;LFRS;;0,385;;15,7
201801;DTTA;LFST;;0,600;;37,6
201801;DTTA;LFPO;;0,598;;29,5
201801;LFPG;DTTA;0,533;;21,8;
201801;LFPG;LFLL;0,265;0,166;12,1;8,4
201801;LFPG;LFRN;0,198;0,186;10,5;8,4
