ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
199401;CYMX;LFPG;74;12493;LC;I
199401;CYMX;LFPO;10;2996;LC;I
199401;CYYZ;LFPG;47;5377;LC;I
199401;DAAE;LFPO;9;648;MC;I
199401;DAAG;LFBO;9;611;MC;I
199401;DAAG;LFLL;29;2059;MC;I
199401;DAAG;LFML;63;6234;MC;I
199401;DAAG;LFPO;133;17898;MC;I
199401;DAAG;LFQQ;9;936;MC;I
199401;DABB;LFML;12;1528;MC;I
199401;DABB;LFPO;9;636;MC;I
199401;DABC;LFLL;26;2205;MC;I
199401;DABC;LFML;33;4328;MC;I
199401;DABC;LFPO;37;2470;MC;I
199401;DAON;LFPO;14;1371;MC;I
199401;DAOO;LFBO;9;918;MC;I
199401;DAOO;LFLL;9;1061;MC;I
199401;DAOO;LFML;12;1799;MC;I
199401;DAOO;LFPO;40;3581;MC;I
199401;DAUG;LFPG;13;1645;MC;I
199401;DBBB;LFMN;4;582;LC;I
199401;DBBB;LFPG;7;1133;LC;I
199401;DFFD;LFPG;26;2600;LC;I
199401;DNMM;LFPG;12;2909;LC;I
199401;DRRN;LFPG;22;2795;LC;I
199401;DTMB;LFLL;5;616;MC;I
199401;DTMB;LFPO;14;1722;MC;I
199401;DTTA;LFBO;9;767;MC;I
199401;DTTA;LFLL;27;2894;MC;I
199401;DTTA;LFML;57;6016;MC;I
199401;DTTA;LFMN;36;4149;MC;I
199401;DTTA;LFPO;115;13753;MC;I
199401;DTTJ;LFPG;3;502;MC;I
199401;DTTJ;LFPO;24;3587;MC;I
199401;DTTX;LFPO;9;888;MC;I
199401;DTTZ;LFPO;9;555;MC;I
199401;EBBR;LFBD;57;1022;MC;I
199401;EBBR;LFLL;119;3489;MC;I
199401;EBBR;LFML;76;1704;MC;I
199401;EBBR;LFMN;56;2762;MC;I
199401;EBBR;LFPG;256;15352;MC;I
199401;EBBR;LFSB;190;1940;MC;I
199401;EBBR;LFST;64;1477;MC;I
199401;EDDF;LFBD;18;525;MC;I
199401;EDDF;LFLL;67;2913;MC;I
199401;EDDF;LFML;26;555;MC;I
199401;EDDF;LFMN;51;3415;MC;I
199401;EDDF;LFPG;378;30362;MC;I
199401;EDDF;LFPO;25;2291;MC;I
199401;EDDF;LFSB;80;1370;MC;I
199401;EDDH;LFPG;156;7305;MC;I
199401;EDDH;LFSB;51;540;MC;I
199401;EDDK;LFPG;203;4546;MC;I
199401;EDDL;LFLL;50;1014;MC;I
199401;EDDL;LFMN;26;976;MC;I
199401;EDDL;LFPG;191;10875;MC;I
199401;EDDL;LFSB;63;1318;MC;I
199401;EDDM;LFBO;28;801;MC;I
199401;EDDM;LFLL;42;653;MC;I
199401;EDDM;LFMN;35;1234;MC;I
199401;EDDM;LFPG;284;14214;MC;I
199401;EDDM;LFPO;10;925;MC;I
199401;EDDM;LFSB;98;1337;MC;I
199401;EDDN;LFPG;93;904;MC;I
199401;EDDS;LFMN;36;551;MC;I
199401;EDDS;LFPG;144;6073;MC;I
199401;EDDT;LFPG;135;8046;MC;I
199401;EDDT;LFSB;70;1045;MC;I
199401;EDDV;LFPG;117;2609;MC;I
199401;EDDW;LFPG;68;1168;MC;I
199401;EDHI;LFBO;21;996;MC;I
199401;EFHF;LFPG;88;5060;MC;I
199401;EGAA;LFLL;9;1481;MC;I
199401;EGBB;LFBO;5;1124;MC;I
199401;EGBB;LFLL;6;1130;MC;I
199401;EGBB;LFPG;192;9425;MC;I
199401;EGCC;LFBO;12;2595;MC;I
199401;EGCC;LFLL;65;6872;MC;I
199401;EGCC;LFLS;5;1026;MC;I
199401;EGCC;LFOB;8;1207;MC;I
199401;EGCC;LFPG;240;13336;MC;I
199401;EGCC;LFPO;11;1243;MC;I
199401;EGFF;LFPG;46;518;MC;I
199401;EGGD;LFBO;20;626;MC;I
199401;EGGD;LFLL;11;2075;MC;I
199401;EGGD;LFPG;73;1968;MC;I
199401;EGGW;LFLL;12;1820;MC;I
199401;EGHI;LFPG;49;1133;MC;I
199401;EGJJ;LFPG;24;563;MC;I
199401;EGJJ;LFRD;37;655;MC;I
199401;EGKK;LFBD;60;2463;MC;I
199401;EGKK;LFBO;82;7886;MC;I
199401;EGKK;LFBT;5;1074;MC;I
199401;EGKK;LFLB;7;704;MC;I
199401;EGKK;LFLL;110;14503;MC;I
199401;EGKK;LFLS;10;1712;MC;I
199401;EGKK;LFML;53;1174;MC;I
199401;EGKK;LFMN;8;852;MC;I
199401;EGKK;LFMT;30;1216;MC;I
199401;EGKK;LFRS;62;1419;MC;I
199401;EGLL;LFBO;28;1011;MC;I
199401;EGLL;LFLL;129;8129;MC;I
199401;EGLL;LFML;61;2712;MC;I
199401;EGLL;LFMN;215;13058;MC;I
199401;EGLL;LFPG;1479;132931;MC;I
199401;EGLL;LFPO;38;2250;MC;I
199401;EGLL;LFSB;112;5463;MC;I
199401;EGLL;LFST;53;1526;MC;I
199401;EGNM;LFPG;48;790;MC;I
199401;EGNT;LFLL;5;952;MC;I
199401;EGNT;LFPG;67;1148;MC;I
199401;EGNV;LFLL;5;1155;MC;I
199401;EGNX;LFPG;105;2890;MC;I
199401;EGPF;LFLL;9;1644;MC;I
199401;EGPF;LFPG;37;1175;MC;I
199401;EGPH;LFPG;31;1983;MC;I
199401;EGSS;LFLL;5;590;MC;I
199401;EGSS;LFMN;17;731;MC;I
199401;EHAM;LFBO;21;1004;MC;I
199401;EHAM;LFLL;56;2649;MC;I
