ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
200201;LFPG;LC;I;A;2;204;221;0,000;0,000;0,001;0,000
200201;LFPG;LC;I;B;164;22214;22401;0,239;0,960;0,092;0,038
200201;LFPG;LC;I;C;5772;1102488;1822173;24,486;126,154;23,271;3,887
200201;LFPG;MC;I;A;6690;200389;214591;3,761;9,304;3,119;0,597
200201;LFPG;MC;I;B;18917;1429319;1489737;24,162;89,770;7,236;3,835
200201;LFPG;MC;I;C;1797;175280;400073;4,864;25,187;3,431;0,772
200201;LFPG;LC;O;C;195;40700;49965;0,761;3,874;1,123;0,121
200201;LFPG;CC;M;A;1194;34478;55965;0,630;1,561;0,679;0,100
200201;LFPG;CC;M;B;4205;316310;421039;5,112;18,337;1,839;0,811
200201;LFPG;CC;M;C;194;2540;46797;0,491;2,589;0,135;0,078
200201;LFPO;LC;I;A;1;6;6;0,001;0,002;0,000;0,000
200201;LFPO;LC;I;B;10;1269;1269;0,014;0,052;0,007;0,002
200201;LFPO;LC;I;C;225;77027;82280;0,948;5,126;1,134;0,151
200201;LFPO;MC;I;A;156;4120;4125;0,064;0,147;0,034;0,010
200201;LFPO;MC;I;B;2415;209088;232240;2,694;11,622;0,629;0,428
200201;LFPO;MC;I;C;535;81075;111797;1,338;7,020;1,104;0,212
200201;LFPO;LC;O;C;673;245867;270359;3,060;16,652;4,746;0,486
200201;LFPO;CC;M;A;2856;64707;64789;0,959;2,604;0,988;0,152
200201;LFPO;CC;M;B;9250;910076;915782;9,843;41,708;3,154;1,562
200201;LFPO;CC;M;C;18;4251;4983;0,062;0,295;0,051;0,010
200202;LFPG;LC;I;A;10;1488;2363;0,002;0,003;0,009;0,000
200202;LFPG;LC;I;B;135;20821;20986;0,197;0,792;0,087;0,031
200202;LFPG;LC;I;C;5220;1039804;1800209;22,324;116,074;21,641;3,543
200202;LFPG;MC;I;A;6408;210669;224913;3,592;8,842;2,932;0,570
200202;LFPG;MC;I;B;17770;1505410;1565561;22,793;85,131;6,825;3,618
200202;LFPG;MC;I;C;1589;157003;396716;4,231;22,385;2,572;0,672
200202;LFPG;LC;O;C;188;37884;47602;0,713;3,590;0,726;0,113
200202;LFPG;CC;M;C;2;202;202;0,017;0,028;0,066;0,003
200202;LFPG;CC;M;A;1058;31430;47998;0,560;1,400;0,579;0,089
200202;LFPG;CC;M;B;3822;298713;402491;4,664;16,787;1,727;0,740
200202;LFPG;CC;M;C;183;2430;44359;0,457;2,421;0,149;0,072
200202;LFPO;LC;I;A;1;6;6;0,000;0,001;0,000;0,000
200202;LFPO;LC;I;B;8;1163;1163;0,012;0,048;0,006;0,002
200202;LFPO;LC;I;C;221;82923;88917;0,949;5,163;1,024;0,151
200202;LFPO;MC;I;A;139;4153;4154;0,058;0,134;0,030;0,009
200202;LFPO;MC;I;B;2398;239918;260212;2,706;11,552;0,602;0,429
200202;LFPO;MC;I;C;533;87687;119108;1,330;7,109;1,119;0,211
200202;LFPO;LC;O;C;627;231028;259035;2,784;15,129;4,291;0,442
200202;LFPO;CC;M;A;2468;59432;59489;0,790;2,131;0,865;0,125
200202;LFPO;CC;M;B;8466;904141;909770;9,005;38,135;2,833;1,429
200202;LFPO;CC;M;C;43;7680;7870;0,108;0,514;0,101;0,017
200203;LFPG;LC;I;A;3;450;450;0,001;0,001;0,001;0,000
200203;LFPG;LC;I;B;139;20908;20985;0,200;0,800;0,089;0,032
200203;LFPG;LC;I;C;6078;1292529;2227221;25,875;135,094;25,588;4,107
200203;LFPG;MC;I;A;7004;252310;268547;4,003;9,916;3,135;0,635
200203;LFPG;MC;I;B;20164;1883018;1950729;25,788;96,512;7,882;4,093
200203;LFPG;MC;I;C;1737;190365;452816;4,774;25,851;3,157;0,758
200203;LFPG;LC;O;C;212;49129;61721;0,818;4,076;1,296;0,130
200203;LFPG;CC;M;A;1;0;0;0,000;0,001;0,001;0,000
200203;LFPG;CC;M;C;3;509;509;0,019;0,035;0,076;0,003
200203;LFPG;CC;M;A;1226;37945;58983;0,739;1,787;0,640;0,117
200203;LFPG;CC;M;B;4272;352503;461153;5,199;18,799;1,929;0,825
200203;LFPG;CC;M;C;199;4001;51401;0,499;2,630;0,163;0,079
200203;LFPO;LC;I;B;10;1526;1526;0,014;0,052;0,007;0,002
200203;LFPO;LC;I;C;247;88441;94718;1,059;5,845;1,213;0,168
200203;LFPO;MC;I;A;152;4742;4742;0,064;0,146;0,031;0,010
200203;LFPO;MC;I;B;2882;303336;328930;3,243;13,655;0,743;0,515
200203;LFPO;MC;I;C;646;116280;155841;1,634;8,552;1,352;0,259
200203;LFPO;LC;O;C;630;242563;279206;2,821;15,335;4,499;0,448
200203;LFPO;CC;M;A;2616;63924;63953;0,790;2,052;0,910;0,125
200203;LFPO;CC;M;B;9469;1037539;1043477;10,017;42,091;3,143;1,590
200203;LFPO;CC;M;C;16;4783;6062;0,061;0,350;0,042;0,010
200204;LFPG;LC;I;A;2;1;113;0,001;0,002;0,001;0,000
200204;LFPG;LC;I;B;144;19188;19346;0,207;0,821;0,096;0,033
200204;LFPG;LC;I;C;6373;1271744;2148920;26,710;140,121;25,229;4,240
200204;LFPG;MC;I;A;7128;255403;269463;4,109;10,133;3,241;0,652
200204;LFPG;MC;I;B;20564;1943175;2002946;26,361;97,870;8,141;4,184
200204;LFPG;MC;I;C;1918;207771;446979;5,201;28,243;3,156;0,826
200204;LFPG;LC;O;C;201;45059;59587;0,784;4,066;1,000;0,125
200204;LFPG;CC;M;C;1;0;0;0,002;0,007;0,010;0,000
200204;LFPG;CC;M;A;1203;35129;54636;0,697;1,710;0,610;0,111
200204;LFPG;CC;M;B;4249;358069;450703;5,266;18,985;1,918;0,836
200204;LFPG;CC;M;C;201;2341;52308;0,504;2,675;0,199;0,080
200204;LFPO;LC;I;B;8;1238;1238;0,012;0,048;0,006;0,002
200204;LFPO;LC;I;C;226;79980;85777;0,957;5,124;1,040;0,152
200204;LFPO;MC;I;A;157;5213;5214;0,066;0,151;0,033;0,011
200204;LFPO;MC;I;B;3122;357606;381743;3,546;15,388;0,839;0,563
200204;LFPO;MC;I;C;940;176016;219470;2,499;13,033;2,293;0,397
200204;LFPO;LC;O;C;577;214052;252631;2,624;14,238;4,236;0,416
200204;LFPO;CC;M;A;2648;65108;65147;0,842;2,195;0,863;0,134
200204;LFPO;CC;M;B;10504;1153970;1160552;11,121;46,603;3,447;1,765
200204;LFPO;CC;M;C;33;10272;11415;0,159;0,911;0,310;0,025
200205;LFPG;LC;I;A;15;512;5498;0,002;0,006;0,003;0,000
200205;LFPG;LC;I;B;86;10005;10658;0,126;0,496;0,049;0,020
200205;LFPG;LC;I;C;6710;1304008;2145944;28,086;147,854;26,355;4,458
200205;LFPG;MC;I;A;7387;254358;273495;4,265;10,562;3,370;0,677
200205;LFPG;MC;I;B;21263;1924771;1982824;27,318;101,188;8,771;4,336
200205;LFPG;MC;I;C;1882;194274;399916;5,173;27,829;3,709;0,821
200205;LFPG;LC;O;C;149;30813;38461;0,587;3,060;0,697;0,093
200205;LFPG;CC;M;A;1160;34923;51009;0,683;1,708;0,547;0,108
200205;LFPG;CC;M;B;4311;361500;444293;5,310;19,151;1,927;0,843
200205;LFPG;CC;M;C;207;6749;51959;0,542;2,869;0,327;0,086
200205;LFPO;LC;I;A;1;1;1;0,001;0,004;0,000;0,000
200205;LFPO;LC;I;B;5;586;586;0,007;0,026;0,003;0,001
200205;LFPO;LC;I;C;167;54487;59937;0,736;4,015;0,660;0,117
200205;LFPO;MC;I;A;161;5431;5433;0,068;0,156;0,033;0,011
200205;LFPO;MC;I;B;3358;346121;372167;3,818;16,570;0,892;0,606
200205;LFPO;MC;I;C;901;152734;189794;2,333;12,132;1,732;0,370
200205;LFPO;LC;O;C;514;180148;207731;2,239;12,045;3,584;0,355
200205;LFPO;CC;M;A;2340;55648;55668;0,822;2,229;0,792;0,130
200205;LFPO;CC;M;B;10402;1125031;1132112;11,079;46,290;3,383;1,759
200205;LFPO;CC;M;C;56;15828;16083;0,237;1,261;0,395;0,038
200206;LFPG;LC;I;A;16;360;6390;0,001;0,001;0,002;0,000
200206;LFPG;LC;I;B;79;9127;9694;0,117;0,475;0,046;0,019
200206;LFPG;LC;I;C;6687;1384184;2279477;27,937;146,948;26,042;4,434
200206;LFPG;MC;I;A;6973;261785;289209;4,071;10,069;3,197;0,646
200206;LFPG;MC;I;B;20313;1960337;2014432;26,076;95,766;8,462;4,139
200206;LFPG;MC;I;C;1814;208081;427850;4,957;26,747;3,708;0,787
200206;LFPG;LC;O;C;152;31079;37726;0,625;3,245;0,836;0,099
200206;LFPG;CC;M;C;2;102;102;0,017;0,028;0,066;0,003
200206;LFPG;CC;M;A;1162;35334;54789;0,676;1,682;0,582;0,107
200206;LFPG;CC;M;B;4181;373742;467565;5,158;18,569;1,899;0,819
200206;LFPG;CC;M;C;212;3620;53988;0,540;2,816;0,193;0,086
200206;LFPO;LC;I;A;1;10;10;0,001;0,001;0,000;0,000
200206;LFPO;LC;I;B;2;333;333;0,003;0,009;0,000;0,000
200206;LFPO;LC;I;C;170;53177;58729;0,756;4,190;0,693;0,120
200206;LFPO;MC;I;A;152;5365;5365;0,062;0,142;0,031;0,010
200206;LFPO;MC;I;B;3294;367529;391719;3,742;16,346;0,875;0,594
200206;LFPO;MC;I;C;796;141660;179130;2,088;10,666;1,787;0,331
200206;LFPO;LC;O;C;500;180683;204440;2,244;12,132;3,522;0,356
200206;LFPO;CC;M;A;2389;66740;66779;0,826;2,224;0,802;0,131
