ANMOIS;DEP;ARR;PC15_D;PC15_A;RETARD_D;RETARD_A
201307;LFSB;LFLL;0,071;0,048;4,5;2,3
201307;LFSB;EBBR;0,159;;6,6;
201307;LFSB;LFPG;0,263;0,347;11,5;14,4
201307;LFSB;LFBO;0,135;0,173;7,4;6,1
201307;LFSB;LEBL;0,011;;2,3;
201307;LFSB;LFRS;0,231;0,077;7,4;2,0
201307;LFSB;LFKJ;0,000;0,000;0,6;0,3
201307;LFSB;LHBP;0,000;;1,3;
201307;LFSB;LEMG;0,091;;6,6;
201307;LFSB;EKCH;0,091;;2,5;
201307;LFSB;LFMN;0,035;0,088;3,4;3,4
201307;LFSB;GMMX;0,167;;18,2;
201307;LFSB;LPPR;0,029;;9,3;
201307;LFSB;LFBD;0,065;0,000;3,0;1,1
201307;LFSB;GCTS;0,071;;4,9;
201307;LFSB;LEPA;0,096;;5,2;
201307;LFSB;EDDC;0,231;;8,6;
201307;LFSB;LEIB;0,000;;0,9;
201307;LFSB;LPPT;0,056;;5,5;
201307;LFSB;EGCC;0,056;;6,7;
201307;LFSB;LEMD;0,000;;2,0;
201307;LFSB;LTFJ;0,086;;6,2;
201307;LFSB;EDDL;0,132;;6,1;
201307;LFSB;LGIR;0,192;;9,5;
201307;LFSB;EHAM;0,089;;5,0;
201307;LFSB;LOWW;0,023;;1,1;
201307;LFSB;LKPR;0,000;;0,8;
201307;LFSB;EDDM;0,097;;6,5;
201307;LFSB;LIRN;0,192;;14,0;
201307;LFSB;EGLC;0,075;;4,0;
201307;LFSB;EDDB;0,103;;7,8;
201307;LFSB;LDSP;0,050;;2,4;
201307;LFSB;EGKK;0,203;;21,4;
201307;LFSB;LIPZ;0,091;;3,9;
201307;LFSB;LIEO;0,000;;3,3;
201307;LFSB;EDDF;0,052;;3,0;
201307;LFSB;LYBE;0,385;;22,5;
201307;LFSB;LICC;0,190;;6,4;
201307;LFSB;LFPO;0,311;0,398;16,0;19,1
201307;LFSB;EGLL;0,185;;8,0;
201307;LFSB;EGPH;0,500;;32,3;
201307;LFSB;EDDH;0,083;;4,7;
201307;LFSB;LIEE;0,154;;6,5;
201307;LFSB;LEAL;0,032;;2,4;
201307;LFSB;GCLP;0,091;;26,7;
201307;LFSB;LGTS;0,077;;2,1;
201307;LFSB;LIRF;0,091;;5,3;
201307;LFSB;LTBA;0,161;;7,8;
201307;LFSB;DABC;0,235;;11,9;
201307;LFSB;LGKO;0,000;;1,9;
201307;LFSB;GMMN;0,348;;32,4;
201307;LFSB;LLBG;0,111;;6,8;
201307;LFSB;LTAI;0,053;;3,2;
201307;LFSB;LGRP;0,083;;3,5;
201307;LFSB;LTBJ;0,059;;4,9;
201307;LFSB;BKPR;0,476;;21,9;
201307;LFSB;LWSK;0,769;;35,3;
201307;LFLL;LFML;0,244;0,104;9,6;6,5
201307;LFLL;LFSB;0,071;0,119;6,4;4,5
201307;LFLL;EBBR;0,233;;10,3;
201307;LFLL;LFRN;0,236;0,083;10,0;5,2
201307;LFLL;LFPG;0,158;0,148;7,9;8,6
201307;LFLL;LFBO;0,082;0,098;6,0;5,8
201307;LFLL;LFLC;0,224;;9,7;
201307;LFLL;LFBL;0,059;;5,6;
201307;LFLL;LFRK;0,210;;9,1;
201307;LFLL;LEBL;0,125;;7,2;
201307;LFLL;LFJL;0,264;;9,7;
