ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
201601;BIKF;LFPG;55;7202;MC;I
201601;BKPR;LFSB;77;11678;MC;I
201601;CYUL;LFPG;117;35721;LC;I
201601;CYVR;LFPG;13;3417;LC;I
201601;CYYZ;LFPG;57;12484;LC;I
201601;DAAE;LFLL;10;956;MC;I
201601;DAAE;LFML;11;881;MC;I
201601;DAAE;LFPO;44;4712;MC;I
201601;DAAG;LFBD;9;1134;MC;I
201601;DAAG;LFBO;32;2874;MC;I
201601;DAAG;LFJL;13;1338;MC;I
201601;DAAG;LFLL;80;8180;MC;I
201601;DAAG;LFML;148;12092;MC;I
201601;DAAG;LFMN;13;1131;MC;I
201601;DAAG;LFPG;228;26611;MC;I
201601;DAAG;LFPO;246;32798;MC;I
201601;DAAG;LFQQ;27;3294;MC;I
201601;DAAG;LFSB;5;617;MC;I
201601;DAAG;LFST;8;648;MC;I
201601;DAAS;LFLL;34;3316;MC;I
201601;DAAS;LFPO;28;2963;MC;I
201601;DABB;LFLL;9;876;MC;I
201601;DABB;LFML;27;2652;MC;I
201601;DABB;LFPO;25;2635;MC;I
201601;DABC;LFLL;23;2211;MC;I
201601;DABC;LFML;39;3908;MC;I
201601;DABC;LFMN;8;774;MC;I
201601;DABC;LFPO;27;3035;MC;I
201601;DABC;LFSB;18;1998;MC;I
201601;DAOI;LFML;14;1340;MC;I
201601;DAOI;LFPG;4;532;MC;I
201601;DAON;LFML;10;883;MC;I
201601;DAON;LFPO;29;3173;MC;I
201601;DAOO;LFBO;44;3727;MC;I
201601;DAOO;LFLL;36;3269;MC;I
201601;DAOO;LFML;56;5206;MC;I
201601;DAOO;LFPG;44;4925;MC;I
201601;DAOO;LFPO;74;8237;MC;I
201601;DAOO;LFQQ;14;1313;MC;I
201601;DAUB;LFPO;5;700;MC;I
201601;DBBB;LFPG;19;4574;LC;I
201601;DFFD;LFPG;17;3008;LC;I
201601;DIAP;LFPG;30;11233;LC;I
201601;DNAA;LFPG;27;5022;LC;I
201601;DNMM;LFPG;31;5968;LC;I
201601;DRRN;LFPG;17;2732;LC;I
201601;DTMB;LFLL;13;1730;MC;I
201601;DTMB;LFML;5;649;MC;I
201601;DTMB;LFMN;15;1865;MC;I
201601;DTMB;LFPG;16;2514;MC;I
201601;DTMB;LFPO;38;5592;MC;I
201601;DTTA;LFBD;9;691;MC;I
201601;DTTA;LFBO;24;2474;MC;I
201601;DTTA;LFLL;44;6241;MC;I
201601;DTTA;LFML;94;7779;MC;I
201601;DTTA;LFMN;37;4745;MC;I
201601;DTTA;LFPG;93;12011;MC;I
201601;DTTA;LFPO;159;23854;MC;I
201601;DTTA;LFRS;14;1758;MC;I
201601;DTTA;LFST;9;1061;MC;I
201601;DTTJ;LFLL;10;1271;MC;I
201601;DTTJ;LFPG;15;2271;MC;I
201601;DTTJ;LFPO;46;7024;MC;I
201601;DTTJ;LFRS;7;726;MC;I
201601;DXXX;LFPG;15;3765;LC;I
